Language,Content,Source
Python,"""""""
File: web_scraper.py
This script fetches the HTML content of a given URL and scrapes specific information (example: all <h2> headings).
Usage:
    pip install requests beautifulsoup4
    python web_scraper.py
Example Output:
    Found 3 <h2> headings on the page.
""""""

import requests
from bs4 import BeautifulSoup

def scrape_headings(url):
    """"""
    Fetch the HTML content from the given URL and parse <h2> elements.
    
    Args:
        url (str): A valid URL to scrape (must include http or https).
    Returns:
        list: A list of strings representing the text of each <h2> heading found.
    """"""
    # Send a GET request to the specified URL
    response = requests.get(url)
    
    # Raise HTTPError if the request was unsuccessful
    response.raise_for_status()
    
    # Parse the HTML content using BeautifulSoup
    soup = BeautifulSoup(response.text, ""html.parser"")
    
    # Find all <h2> tags
    h2_tags = soup.find_all(""h2"")
    
    # Extract text from each <h2> element
    headings = [tag.get_text(strip=True) for tag in h2_tags]
    
    return headings

def main():
    # Example URL for demonstration purposes
    example_url = ""https://example.com""
    
    # Scrape headings
    headings_list = scrape_headings(example_url)
    
    # Print the results
    print(f""Found {len(headings_list)} <h2> headings on the page."")
    for i, heading in enumerate(headings_list, 1):
        print(f""{i}. {heading}"")

if __name__ == ""__main__"":
    main()
",chatgpt
Ruby,"# File: ruby_scraper.rb
# This script uses Nokogiri and open-uri to scrape all links (<a> tags) from a webpage.
# Usage:
#   gem install nokogiri
#   ruby ruby_scraper.rb
# Example Output:
#   Found 5 links on the page.
#   Link #1 -> https://example.com
#   ...

require 'nokogiri'
require 'open-uri'

def scrape_links(url)
  # Open the URL and parse with Nokogiri
  doc = Nokogiri::HTML(URI.open(url))
  
  # Find all <a> tags and map their href attributes
  links = doc.css('a').map { |link| link['href'] }.compact
  links
end

# Example usage
if __FILE__ == $0
  begin
    example_url = ""https://example.com""
    links_found = scrape_links(example_url)
    puts ""Found #{links_found.size} links on the page.""
    links_found.each_with_index do |lnk, idx|
      puts ""Link ##{idx + 1} -> #{lnk}""
    end
  rescue StandardError => e
    puts ""An error occurred: #{e.message}""
  end
end
",chatgpt
Rust,"// File: linear_search.rs
// This Rust program performs a linear search for a target element in an integer array.
// Usage:
//   cargo run
// Example Output:
//   Enter a number to search: 25
//   25 found at index 2

use std::io;

/// Performs a linear search on the given slice for the target value.
/// Returns Some(index) if found, or None if not found.
fn linear_search(arr: &[i32], target: i32) -> Option<usize> {
    for (index, &value) in arr.iter().enumerate() {
        if value == target {
            return Some(index);
        }
    }
    None
}

fn main() {
    let arr = [10, 15, 25, 30, 45];
    
    println!(""Enter a number to search: "");
    let mut input = String::new();
    io::stdin().read_line(&mut input).expect(""Failed to read line."");
    let num: i32 = input.trim().parse().expect(""Please enter a valid integer."");
    
    match linear_search(&arr, num) {
        Some(index) => println!(""{} found at index {}"", num, index),
        None => println!(""{} not found in the array"", num),
    }
}
",chatgpt
PHP,"<?php
/**
 * File: mysqli_crud.php
 * This PHP script demonstrates basic CRUD (Create, Read, Update, Delete) operations
 * using the MySQLi extension with a MySQL database.
 * 
 * Usage:
 *   1. Configure the $servername, $username, $password, and $dbname variables.
 *   2. Run `php mysqli_crud.php`.
 * Example Output:
 *   Connected successfully.
 *   Table persons created successfully (if not exists).
 *   Inserted record John Doe, age 29
 *   Inserted record Jane Smith, age 34
 *   Reading records from database:
 *   ID: 1, Name: John Doe, Age: 29
 *   ID: 2, Name: Jane Smith, Age: 34
 *   Updated record ID=1 to new age=30
 *   Deleted record ID=2
 */

// Database configuration
$servername = ""localhost"";
$username = ""root"";
$password = """";
$dbname = ""test_db"";

// Create connection
$conn = new mysqli($servername, $username, $password);

// Check connection
if ($conn->connect_error) {
    die(""Connection failed: "" . $conn->connect_error);
}
echo ""Connected successfully.\n"";

// Create database if it doesn't exist
$conn->query(""CREATE DATABASE IF NOT EXISTS $dbname"");

// Select database
$conn->select_db($dbname);

// Create table if it doesn't exist
$createTableSQL = ""
CREATE TABLE IF NOT EXISTS persons (
  id INT AUTO_INCREMENT PRIMARY KEY,
  name VARCHAR(100) NOT NULL,
  age INT NOT NULL
)"";
if ($conn->query($createTableSQL) === true) {
    echo ""Table persons created successfully (if not exists).\n"";
}

// Insert records
insertRecord($conn, ""John Doe"", 29);
insertRecord($conn, ""Jane Smith"", 34);

// Read and display records
readRecords($conn);

// Update a record
updateRecord($conn, 1, 30);

// Delete a record
deleteRecord($conn, 2);

$conn->close();

/**
 * Insert a new record into the 'persons' table.
 *
 * @param mysqli $connection The MySQLi connection object.
 * @param string $name The person's name.
 * @param int $age The person's age.
 * @return void
 */
function insertRecord($connection, $name, $age) {
    $sql = ""INSERT INTO persons (name, age) VALUES (?, ?)"";
    $stmt = $connection->prepare($sql);
    $stmt->bind_param(""si"", $name, $age);
    if ($stmt->execute()) {
        echo ""Inserted record $name, age $age\n"";
    }
    $stmt->close();
}

/**
 * Read and display all records from the 'persons' table.
 *
 * @param mysqli $connection The MySQLi connection object.
 * @return void
 */
function readRecords($connection) {
    $sql = ""SELECT id, name, age FROM persons"";
    $result = $connection->query($sql);

    echo ""Reading records from database:\n"";
    if ($result->num_rows > 0) {
        while ($row = $result->fetch_assoc()) {
            echo ""ID: {$row['id']}, Name: {$row['name']}, Age: {$row['age']}\n"";
        }
    } else {
        echo ""No records found.\n"";
    }
}

/**
 * Update a record's age in the 'persons' table by ID.
 *
 * @param mysqli $connection The MySQLi connection object.
 * @param int $id The ID of the record to update.
 * @param int $newAge The new age to be set.
 * @return void
 */
function updateRecord($connection, $id, $newAge) {
    $sql = ""UPDATE persons SET age=? WHERE id=?"";
    $stmt = $connection->prepare($sql);
    $stmt->bind_param(""ii"", $newAge, $id);
    if ($stmt->execute()) {
        echo ""Updated record ID=$id to new age=$newAge\n"";
    }
    $stmt->close();
}

/**
 * Delete a record from the 'persons' table by ID.
 *
 * @param mysqli $connection The MySQLi connection object.
 * @param int $id The ID of the record to delete.
 * @return void
 */
function deleteRecord($connection, $id) {
    $sql = ""DELETE FROM persons WHERE id=?"";
    $stmt = $connection->prepare($sql);
    $stmt->bind_param(""i"", $id);
    if ($stmt->execute()) {
        echo ""Deleted record ID=$id\n"";
    }
    $stmt->close();
}
",chatgpt
Go,"// File: prime_check.go
// This Go program determines if a given integer is prime.
// Usage:
//   go run prime_check.go
// Example Output:
//   Enter a number: 13
//   13 is prime.

package main

import (
    ""fmt""
    ""math""
)

// isPrime checks if a given integer n is prime.
func isPrime(n int) bool {
    if n < 2 {
        return false
    }
    // Only check divisibility up to the square root of n
    limit := int(math.Sqrt(float64(n)))
    for i := 2; i <= limit; i++ {
        if n%i == 0 {
            return false
        }
    }
    return true
}

func main() {
    var num int
    fmt.Print(""Enter a number: "")
    fmt.Scan(&num)

    if isPrime(num) {
        fmt.Printf(""%d is prime.\n"", num)
    } else {
        fmt.Printf(""%d is not prime.\n"", num)
    }
}
",chatgpt
Python,"""""""
File: factorial.py
This script calculates the factorial of a given non-negative integer.
No external libraries are required.
Usage:
    python factorial.py
Example Output:
    Enter a non-negative integer: 5
    Factorial of 5 is 120
""""""

def factorial(n):
    """"""
    Calculate the factorial of a non-negative integer n using an iterative approach.
    
    Args:
        n (int): Non-negative integer whose factorial is to be computed.
    Returns:
        int: Factorial of n.
        
    Raises:
        ValueError: If n is negative.
    """"""
    if n < 0:
        raise ValueError(""n must be a non-negative integer."")
    result = 1
    
    # We multiply result by each integer from 1 to n
    for i in range(1, n+1):
        result *= i
    return result

def main():
    # Prompt user for input
    num = int(input(""Enter a non-negative integer: ""))
    # Calculate factorial
    fact = factorial(num)
    # Output the result
    print(f""Factorial of {num} is {fact}"")

if __name__ == ""__main__"":
    main()
",chatgpt
C++,"/*
File: DFS_Graph.cpp
This program implements a graph using adjacency lists and performs a Depth-First Search traversal.
Usage:
    g++ DFS_Graph.cpp -o DFS_Graph
    ./DFS_Graph
Example Output:
    DFS starting from vertex 0:
    0 1 3 2
*/

#include <iostream>
#include <vector>
#include <stack>
using namespace std;

class Graph {
private:
    // Number of vertices
    int V;
    // Adjacency list representation
    vector<vector<int>> adj;

public:
    /**
     * Constructor to initialize the graph with V vertices.
     * 
     * @param vertices The number of vertices in the graph.
     */
    Graph(int vertices) : V(vertices) {
        // Initialize adjacency lists
        adj.resize(vertices);
    }

    /**
     * Adds an edge from src to dest (undirected graph).
     * 
     * @param src The source vertex.
     * @param dest The destination vertex.
     */
    void addEdge(int src, int dest) {
        adj[src].push_back(dest);
        adj[dest].push_back(src); 
    }

    /**
     * Performs a Depth-First Search from a given start vertex using an iterative approach.
     * 
     * @param start The starting vertex for the DFS.
     */
    void DFS(int start) {
        vector<bool> visited(V, false);
        stack<int> stackObj;

        // Push the start vertex
        stackObj.push(start);

        cout << ""DFS starting from vertex "" << start << "": "";

        while (!stackObj.empty()) {
            int vertex = stackObj.top();
            stackObj.pop();

            // If not visited, mark visited and process
            if (!visited[vertex]) {
                cout << vertex << "" "";
                visited[vertex] = true;

                // Push all adjacent vertices that are not visited
                for (auto it = adj[vertex].rbegin(); it != adj[vertex].rend(); ++it) {
                    if (!visited[*it]) {
                        stackObj.push(*it);
                    }
                }
            }
        }
        cout << endl;
    }
};

int main() {
    // Create a graph with 4 vertices (0,1,2,3)
    Graph g(4);
    // Add edges
    g.addEdge(0, 1);
    g.addEdge(0, 2);
    g.addEdge(1, 3);
    g.addEdge(2, 3);

    // Perform DFS starting from vertex 0
    g.DFS(0);

    return 0;
}
",chatgpt
Kotlin,"/*
File: KtorServer.kt
This Kotlin program uses the Ktor framework to start a simple HTTP server.
It defines two endpoints:
1. GET / -> returns ""Hello from Ktor!""
2. GET /users -> returns a static JSON list of users

Usage:
    gradle run (if using a Gradle setup)
    or compile and run with a manual classpath that includes Ktor dependencies.

Example Output:
    Server is running on http://localhost:8080
*/

import io.ktor.application.*
import io.ktor.http.*
import io.ktor.response.*
import io.ktor.routing.*
import io.ktor.server.engine.*
import io.ktor.server.netty.*
import io.ktor.server.routing.*

fun main() {
    embeddedServer(Netty, port = 8080) {
        routing {
            get(""/"") {
                call.respondText(""Hello from Ktor!"", ContentType.Text.Plain)
            }

            get(""/users"") {
                val users = listOf(
                    mapOf(""id"" to 1, ""name"" to ""Alice""),
                    mapOf(""id"" to 2, ""name"" to ""Bob"")
                )
                call.respond(users)
            }
        }
    }.start(wait = true)

    println(""Server is running on http://localhost:8080"")
}
",chatgpt
Java,"/*
File: CrudOperations.java
This class demonstrates basic CRUD (Create, Read, Update, Delete) operations using JDBC with SQLite.
Usage:
    javac CrudOperations.java
    java CrudOperations
Dependencies:
    SQLite JDBC driver (sqlite-jdbc-<version>.jar)
Example Output:
    Database created or opened successfully.
    Table created successfully.
    Record inserted: (John Doe, 29)
    Record inserted: (Jane Smith, 34)
    Reading records from the database:
    ID: 1, Name: John Doe, Age: 29
    ID: 2, Name: Jane Smith, Age: 34
    Record updated: ID=1 now has age=30
    Record with ID=2 deleted.
*/

import java.sql.*;

public class CrudOperations {

    // SQLite connection URL
    private static final String URL = ""jdbc:sqlite:sample.db"";

    public static void main(String[] args) {
        try {
            // 1. Establish connection
            Connection conn = DriverManager.getConnection(URL);
            System.out.println(""Database created or opened successfully."");

            // 2. Create table if it does not exist
            createTable(conn);

            // 3. Insert sample records
            insertRecord(conn, ""John Doe"", 29);
            insertRecord(conn, ""Jane Smith"", 34);

            // 4. Read and print records
            readRecords(conn);

            // 5. Update a record
            updateRecord(conn, 1, 30);

            // 6. Delete a record
            deleteRecord(conn, 2);

            conn.close();
        } catch (SQLException e) {
            e.printStackTrace();
        }
    }

    private static void createTable(Connection conn) throws SQLException {
        // The SQL statement to create a table if it doesn't already exist
        String sql = ""CREATE TABLE IF NOT EXISTS persons (""
                   + ""id INTEGER PRIMARY KEY AUTOINCREMENT, ""
                   + ""name TEXT NOT NULL, ""
                   + ""age INTEGER NOT NULL""
                   + "")"";
        try (Statement stmt = conn.createStatement()) {
            stmt.execute(sql);
            System.out.println(""Table created successfully."");
        }
    }

    private static void insertRecord(Connection conn, String name, int age) throws SQLException {
        String sql = ""INSERT INTO persons (name, age) VALUES (?, ?)"";
        try (PreparedStatement pstmt = conn.prepareStatement(sql)) {
            pstmt.setString(1, name);
            pstmt.setInt(2, age);
            pstmt.executeUpdate();
            System.out.println(""Record inserted: ("" + name + "", "" + age + "")"");
        }
    }

    private static void readRecords(Connection conn) throws SQLException {
        String sql = ""SELECT id, name, age FROM persons"";
        try (Statement stmt = conn.createStatement();
             ResultSet rs = stmt.executeQuery(sql)) {
            System.out.println(""Reading records from the database:"");
            while (rs.next()) {
                System.out.println(""ID: "" + rs.getInt(""id"") 
                    + "", Name: "" + rs.getString(""name"")
                    + "", Age: "" + rs.getInt(""age""));
            }
        }
    }

    private static void updateRecord(Connection conn, int id, int newAge) throws SQLException {
        String sql = ""UPDATE persons SET age=? WHERE id=?"";
        try (PreparedStatement pstmt = conn.prepareStatement(sql)) {
            pstmt.setInt(1, newAge);
            pstmt.setInt(2, id);
            pstmt.executeUpdate();
            System.out.println(""Record updated: ID="" + id + "" now has age="" + newAge);
        }
    }

    private static void deleteRecord(Connection conn, int id) throws SQLException {
        String sql = ""DELETE FROM persons WHERE id=?"";
        try (PreparedStatement pstmt = conn.prepareStatement(sql)) {
            pstmt.setInt(1, id);
            pstmt.executeUpdate();
            System.out.println(""Record with ID="" + id + "" deleted."");
        }
    }
}
",chatgpt
Go,"// File: prime_check.go
// This Go program determines if a given integer is prime.
// Usage:
//   go run prime_check.go
// Example Output:
//   Enter a number: 13
//   13 is prime.

package main

import (
    ""fmt""
    ""math""
)

// isPrime checks if a given integer n is prime.
func isPrime(n int) bool {
    if n < 2 {
        return false
    }
    // Only check divisibility up to the square root of n
    limit := int(math.Sqrt(float64(n)))
    for i := 2; i <= limit; i++ {
        if n%i == 0 {
            return false
        }
    }
    return true
}

func main() {
    var num int
    fmt.Print(""Enter a number: "")
    fmt.Scan(&num)

    if isPrime(num) {
        fmt.Printf(""%d is prime.\n"", num)
    } else {
        fmt.Printf(""%d is not prime.\n"", num)
    }
}
",chatgpt
